停线单号,日期,班次,工序,产线设备,工单号,卡号,料号,停线开始时间,停线结束时间,停线时长（分钟）,停线原因,处理措施
SL20260821-001,2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,5,UK561M200N300AP4APR,2026-08-21T08:35:00,2026-08-21T08:43:00,8,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260821-002,2026-08-21T00:00:00,A,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,3,UK561M200N300AP4APR,2026-08-21T11:55:00,2026-08-21T12:40:00,45,待上工序来料,接收上工序来料并核对卡号后恢复生产
SL20260821-003,2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,12,UK561M200N300AP4APR,2026-08-22T02:15:00,2026-08-22T03:45:00,90,更换钉卷工装,完成工装更换及首件确认
SL20260822-004,2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,20,UK561M200N300AP4APR,2026-08-22T14:10:00,2026-08-22T14:35:00,25,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260822-005,2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000300,7,UK561M200N300AP4APR,2026-08-23T01:25:00,2026-08-23T02:55:00,90,封口尺寸复核,复核尺寸并调整参数后恢复生产
SL20260823-008,2026-08-23T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000301,1,UK561M200N300AP4APR,2026-08-23T11:55:00,2026-08-23T13:25:00,90,分选送料卡滞,清理分选通道并试运行确认
SL20260823-007,2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,18,UK561M200N300AP4APR,2026-08-23T13:30:00,2026-08-23T14:10:00,40,套管供料异常,清理送料机构，调整套管定位后恢复生产
SL20260823-006,2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,37,UK561M200N300AP4APR,2026-08-23T14:05:00,2026-08-23T15:35:00,90,导针送料卡料,清理送料通道，调整导向后恢复生产
SL20260824-009,2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000300,32,UK561M200N300AP4APR,2026-08-24T08:30:00,2026-08-24T08:50:00,20,待检批次切换,完成批次交接及测试程序确认
SL20260824-012,2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000301,16,UK561M200N300AP4APR,2026-08-24T21:15:00,2026-08-24T21:45:00,30,测试设备报警,检查报警并完成设备复位
SL20260824-010,2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD098,SF313-2608000303,13,UK561M200N300AP4APR,2026-08-24T23:50:00,2026-08-25T01:50:00,120,来料补充等待,补齐来料并核对批次后恢复生产
SL20260824-011,2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,20,UK561M200N300AP4APR,2026-08-25T03:30:00,2026-08-25T03:42:00,12,套管供料异常,清理送料机构，调整套管定位后恢复生产
SL20260825-013,2026-08-25T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000303,2,UK561M200N300AP4APR,2026-08-25T08:25:00,2026-08-25T09:10:00,45,更换组立治具,完成治具更换及首件确认
SL20260825-014,2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0015,SF313-2608000303,8,UK561M200N300AP4APR,2026-08-25T13:05:00,2026-08-25T13:35:00,30,测试设备报警,检查报警并完成设备复位
SL20260825-015,2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,32,UK561M200N300AP4APR,2026-08-25T21:35:00,2026-08-25T22:35:00,60,待上工序来料,接收上工序来料并核对卡号后恢复生产
SL20260825-016,2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0015,SF313-2608000301,27,UK561M200N300AP4APR,2026-08-25T23:50:00,2026-08-26T01:20:00,90,测试治具接触不良,清洁测试触点，复测正常后恢复生产
SL20260826-017,2026-08-26T00:00:00,A,3161 制造六处釘卷,6DD099,SF313-2608000303,36,UK561M200N300AP4APR,2026-08-26T08:25:00,2026-08-26T08:55:00,30,来料补充等待,补齐来料并核对批次后恢复生产
SL20260826-018,2026-08-26T00:00:00,A,3162 制造六处自动组立套胶,6B0032,SF313-2608000303,29,UK561M200N300AP4APR,2026-08-26T14:00:00,2026-08-26T14:35:00,35,待上工序来料,接收上工序来料并核对卡号后恢复生产
SL20260826-020,2026-08-26T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000304,1,UK561M200N300AP4APR,2026-08-26T23:25:00,2026-08-27T00:05:00,40,更换组立治具,完成治具更换及首件确认
SL20260826-019,2026-08-26T00:00:00,B,3161 制造六处釘卷,6DD127,SF313-2608000302,34,UK561M200N300AP4APR,2026-08-26T23:50:00,2026-08-27T00:15:00,25,来料补充等待,补齐来料并核对批次后恢复生产
