日期,班次,统计时间,工序,产线设备,工单号,卡号,料号,在制数量（件）
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6D0005,SF313-2608000300,3,UK561M200N300AP4APR,288
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6D0117,SF313-2608000300,5,UK561M200N300AP4APR,372
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD117,SF313-2608000300,7,UK561M200N300AP4APR,420
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD119,SF313-2608000300,6,UK561M200N300AP4APR,612
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD119,SF313-2608000300,8,UK561M200N300AP4APR,480
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,5,UK561M200N300AP4APR,240
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,6,UK561M200N300AP4APR,300
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,7,UK561M200N300AP4APR,504
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,8,UK561M200N300AP4APR,540
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,2,UK561M200N300AP4APR,616
2026-08-21T00:00:00,A,2026-08-21T12:00:00,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,3,UK561M200N300AP4APR,587
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6D0005,SF313-2608000300,3,UK561M200N300AP4APR,0
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6D0117,SF313-2608000300,5,UK561M200N300AP4APR,276
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD117,SF313-2608000300,7,UK561M200N300AP4APR,192
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD119,SF313-2608000300,6,UK561M200N300AP4APR,132
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD119,SF313-2608000300,8,UK561M200N300AP4APR,0
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,5,UK561M200N300AP4APR,336
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,6,UK561M200N300AP4APR,180
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,7,UK561M200N300AP4APR,132
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3161 制造六处釘卷,6DD129,SF313-2608000301,8,UK561M200N300AP4APR,132
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,2,UK561M200N300AP4APR,252
2026-08-21T00:00:00,A,2026-08-21T17:00:00,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,3,UK561M200N300AP4APR,229
