日期,班次,工序,产品型号,开始时间,结束时间,产量（件）
2026-08-23,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-23T08:00:00,2026-08-23T20:00:00,8435
2026-08-23,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-23T20:00:00,2026-08-24T08:00:00,11383
2026-08-24,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-24T08:00:00,2026-08-24T20:00:00,16351
2026-08-24,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-24T20:00:00,2026-08-25T08:00:00,20189
2026-08-25,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-25T08:00:00,2026-08-25T20:00:00,23035
2026-08-25,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-25T20:00:00,2026-08-26T08:00:00,20715
2026-08-26,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-26T08:00:00,2026-08-26T20:00:00,17889
2026-08-26,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-26T20:00:00,2026-08-27T08:00:00,22002
2026-08-27,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-27T08:00:00,2026-08-27T20:00:00,17799
2026-08-27,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-27T20:00:00,2026-08-28T08:00:00,22248
2026-08-28,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-28T08:00:00,2026-08-28T20:00:00,8310
2026-08-28,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-28T20:00:00,2026-08-29T08:00:00,14856
2026-08-29,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-29T08:00:00,2026-08-29T20:00:00,4799
2026-08-29,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-29T20:00:00,2026-08-30T08:00:00,8395
2026-08-30,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-30T08:00:00,2026-08-30T20:00:00,14000
2026-08-30,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-30T20:00:00,2026-08-31T08:00:00,0
2026-08-31,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-31T08:00:00,2026-08-31T20:00:00,5846
2026-08-31,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-08-31T20:00:00,2026-09-01T08:00:00,8715
2026-09-01,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-01T08:00:00,2026-09-01T20:00:00,14388
2026-09-01,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-01T20:00:00,2026-09-02T08:00:00,13202
2026-09-02,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-02T08:00:00,2026-09-02T20:00:00,20277
2026-09-02,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-02T20:00:00,2026-09-03T08:00:00,22853
2026-09-03,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-03T08:00:00,2026-09-03T20:00:00,21535
2026-09-03,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-03T20:00:00,2026-09-04T08:00:00,21508
2026-09-04,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-04T08:00:00,2026-09-04T20:00:00,12374
2026-09-04,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-04T20:00:00,2026-09-05T08:00:00,2410
2026-09-05,A,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-05T08:00:00,2026-09-05T20:00:00,509
2026-09-05,B,3164 制造六处老化选别,UK561M200N300AP4APR,2026-09-05T20:00:00,2026-09-06T08:00:00,15000
