日期,班次,工序,产线设备,工单号,卡号,料号,计划数,产量,检验数,合格数,不良数
2026-08-21T00:00:00,A,3161 制造六处釘卷,6D0005,SF313-2608000300,3,UK561M200N300AP4APR,1200,1180,1180,1180,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6D0117,SF313-2608000300,5,UK561M200N300AP4APR,1200,1192,1192,1192,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,6,UK561M200N300AP4APR,1200,1197,1197,1197,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,7,UK561M200N300AP4APR,1200,1184,1184,1184,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,8,UK561M200N300AP4APR,1200,1179,1179,1179,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,9,UK561M200N300AP4APR,1200,1225,1225,1225,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,10,UK561M200N300AP4APR,1200,1238,1238,1238,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,11,UK561M200N300AP4APR,1200,1225,1225,1225,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,12,UK561M200N300AP4APR,1200,1229,1229,1229,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,13,UK561M200N300AP4APR,1200,1220,1220,1220,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,14,UK561M200N300AP4APR,1200,1212,1212,1212,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,15,UK561M200N300AP4APR,1200,1240,1240,1240,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,16,UK561M200N300AP4APR,1200,1223,1223,1223,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,17,UK561M200N300AP4APR,1200,1225,1225,1225,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,18,UK561M200N300AP4APR,1200,1220,1220,1220,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,19,UK561M200N300AP4APR,1200,1228,1228,1228,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,20,UK561M200N300AP4APR,1200,1151,1151,1151,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,21,UK561M200N300AP4APR,1200,1440,1440,1440,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,22,UK561M200N300AP4APR,1200,1231,1231,1231,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,23,UK561M200N300AP4APR,1200,1194,1194,1194,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,24,UK561M200N300AP4APR,1200,1194,1194,1194,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,25,UK561M200N300AP4APR,1200,1218,1218,1218,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,26,UK561M200N300AP4APR,1200,1212,1212,1212,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,27,UK561M200N300AP4APR,1200,1199,1199,1199,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,28,UK561M200N300AP4APR,1200,1176,1176,1176,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,29,UK561M200N300AP4APR,1200,1201,1201,1201,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,30,UK561M200N300AP4APR,1200,1187,1187,1187,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,31,UK561M200N300AP4APR,1200,1207,1207,1207,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,32,UK561M200N300AP4APR,1200,1193,1193,1193,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,33,UK561M200N300AP4APR,1200,1199,1199,1199,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,34,UK561M200N300AP4APR,1200,1184,1184,1184,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,35,UK561M200N300AP4APR,1200,1219,1219,1219,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,36,UK561M200N300AP4APR,1200,1198,1198,1198,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,37,UK561M200N300AP4APR,1200,1136,1136,1136,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,38,UK561M200N300AP4APR,1200,1160,1160,1160,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,39,UK561M200N300AP4APR,1200,200,200,200,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,40,UK561M200N300AP4APR,1200,1175,1175,1175,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,41,UK561M200N300AP4APR,1200,1194,1194,1194,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,42,UK561M200N300AP4APR,1200,1170,1170,1170,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,43,UK561M200N300AP4APR,1200,1200,1200,1200,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,1,UK561M200N300AP4APR,1237,1237,1237,1237,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000300,2,UK561M200N300AP4APR,1240,1240,1240,1240,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,3,UK561M200N300AP4APR,1180,1180,1180,1180,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,4,UK561M200N300AP4APR,1210,1210,1210,1210,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,5,UK561M200N300AP4APR,1192,1192,1192,1192,0
2026-08-22T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,6,UK561M200N300AP4APR,1197,1197,1197,1197,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000300,7,UK561M200N300AP4APR,1184,1184,1184,1184,0
2026-08-22T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,8,UK561M200N300AP4APR,1179,1179,1179,1179,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,9,UK561M200N300AP4APR,1225,1225,1225,1225,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,10,UK561M200N300AP4APR,1238,1238,1238,1238,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,11,UK561M200N300AP4APR,1225,1225,1225,1225,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,12,UK561M200N300AP4APR,1229,1229,1229,1229,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,13,UK561M200N300AP4APR,1220,1220,1220,1220,0
2026-08-25T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,14,UK561M200N300AP4APR,1212,1212,1212,1212,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000300,15,UK561M200N300AP4APR,1240,1240,1240,1240,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,16,UK561M200N300AP4APR,1223,1223,1223,1223,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,17,UK561M200N300AP4APR,1225,1225,1225,1225,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,18,UK561M200N300AP4APR,1220,1220,1220,1220,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,19,UK561M200N300AP4APR,1228,1228,1228,1228,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,20,UK561M200N300AP4APR,1151,1151,1151,1151,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,21,UK561M200N300AP4APR,1440,1440,1440,1440,0
