日期,班次,工序,电表名称,开始时间,结束时间,用电量（kWh）
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T08:00:00,2026-08-23T09:00:00,17.808
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T09:00:00,2026-08-23T10:00:00,19.275
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T10:00:00,2026-08-23T11:00:00,20.951
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T11:00:00,2026-08-23T12:00:00,21.999
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T12:00:00,2026-08-23T13:00:00,23.046
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T13:00:00,2026-08-23T14:00:00,21.789
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T14:00:00,2026-08-23T15:00:00,20.532
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T15:00:00,2026-08-23T16:00:00,20.951
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T16:00:00,2026-08-23T17:00:00,22.627
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T17:00:00,2026-08-23T18:00:00,21.998
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T18:00:00,2026-08-23T19:00:00,20.322
2026-08-23,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T19:00:00,2026-08-23T20:00:00,20.113
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T08:00:00,2026-08-23T09:00:00,8.541
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T09:00:00,2026-08-23T10:00:00,9.244
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T10:00:00,2026-08-23T11:00:00,10.048
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T11:00:00,2026-08-23T12:00:00,10.55
