日期,班次,工序,机台,工单号,卡号,料号,标准节拍,标准产量,实际产量,实际节拍
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD005,SF313-2608000300,3,UK561M200N300AP4APR,15,9000,1180,1.9666666666666668
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,5,UK561M200N300AP4APR,15,4500,1192,3.9733333333333336
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,7,UK561M200N300AP4APR,15,4500,1184,3.9466666666666668
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,6,UK561M200N300AP4APR,15,4500,1197,3.9899999999999998
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,8,UK561M200N300AP4APR,15,4500,1179,3.9299999999999997
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,5,UK561M200N300AP4APR,15,2250,1114,7.426666666666667
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,6,UK561M200N300AP4APR,15,2250,1114,7.426666666666667
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,7,UK561M200N300AP4APR,15,2250,1192,7.946666666666667
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,8,UK561M200N300AP4APR,15,2250,1183,7.886666666666666
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,9,UK561M200N300AP4APR,15,4500,1225,4.083333333333334
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000300,11,UK561M200N300AP4APR,15,4500,1225,4.083333333333334
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,10,UK561M200N300AP4APR,15,4500,1238,4.126666666666667
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000300,12,UK561M200N300AP4APR,15,4500,1229,4.096666666666667
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,9,UK561M200N300AP4APR,15,9000,1431,2.3850000000000002
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,10,UK561M200N300AP4APR,15,9000,1418,2.3633333333333333
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,21,UK561M200N300AP4APR,15,4500,1440,4.8
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000300,23,UK561M200N300AP4APR,15,4500,1194,3.9799999999999995
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,20,UK561M200N300AP4APR,15,4500,1151,3.836666666666667
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD119,SF313-2608000300,22,UK561M200N300AP4APR,15,4500,1231,4.1033333333333335
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,17,UK561M200N300AP4APR,15,2250,1171,7.806666666666667
