日期,产线,班次,工序,用电量(kWh),产量(千只),基准单耗(kWh/千只),资料说明
2026-09-01,1号产线,夜班,其他,975.1,130.68,7.5,合成示例，仅用于前端演示
2026-09-01,1号产线,夜班,含浸,1163.7,130.68,8.8,合成示例，仅用于前端演示
2026-09-01,1号产线,夜班,老化,1752.52,130.68,12,合成示例，仅用于前端演示
2026-09-01,1号产线,白班,其他,1192.36,166.32,7.5,合成示例，仅用于前端演示
2026-09-01,1号产线,白班,含浸,1422.99,166.32,8.8,合成示例，仅用于前端演示
2026-09-01,1号产线,白班,老化,2143.01,166.32,12,合成示例，仅用于前端演示
2026-09-01,2号产线,夜班,其他,782.01,106.92,7.5,合成示例，仅用于前端演示
2026-09-01,2号产线,夜班,含浸,933.26,106.92,8.8,合成示例，仅用于前端演示
2026-09-01,2号产线,夜班,老化,1405.49,106.92,12,合成示例，仅用于前端演示
2026-09-01,2号产线,白班,其他,956.25,136.08,7.5,合成示例，仅用于前端演示
2026-09-01,2号产线,白班,含浸,1141.21,136.08,8.8,合成示例，仅用于前端演示
2026-09-01,2号产线,白班,老化,1718.65,136.08,12,合成示例，仅用于前端演示
2026-09-02,1号产线,夜班,其他,1161.27,151.008,7.5,合成示例，仅用于前端演示
2026-09-02,1号产线,夜班,含浸,1385.88,151.008,8.8,合成示例，仅用于前端演示
2026-09-02,1号产线,夜班,老化,2087.13,151.008,12,合成示例，仅用于前端演示
2026-09-02,1号产线,白班,其他,1420.02,192.192,7.5,合成示例，仅用于前端演示
2026-09-02,1号产线,白班,含浸,1694.68,192.192,8.8,合成示例，仅用于前端演示
2026-09-02,1号产线,白班,老化,2552.18,192.192,12,合成示例，仅用于前端演示
2026-09-02,2号产线,夜班,其他,931.32,123.552,7.5,合成示例，仅用于前端演示
2026-09-02,2号产线,夜班,含浸,1111.45,123.552,8.8,合成示例，仅用于前端演示
2026-09-02,2号产线,夜班,老化,1673.84,123.552,12,合成示例，仅用于前端演示
2026-09-02,2号产线,白班,其他,1138.83,157.248,7.5,合成示例，仅用于前端演示
2026-09-02,2号产线,白班,含浸,1359.1,157.248,8.8,合成示例，仅用于前端演示
2026-09-02,2号产线,白班,老化,2046.8,157.248,12,合成示例，仅用于前端演示
2026-09-03,1号产线,夜班,其他,1072.61,142.296,7.5,合成示例，仅用于前端演示
2026-09-03,1号产线,夜班,含浸,1280.07,142.296,8.8,合成示例，仅用于前端演示
2026-09-03,1号产线,夜班,老化,1927.77,142.296,12,合成示例，仅用于前端演示
2026-09-03,1号产线,白班,其他,1311.6,181.104,7.5,合成示例，仅用于前端演示
2026-09-03,1号产线,白班,含浸,1565.29,181.104,8.8,合成示例，仅用于前端演示
2026-09-03,1号产线,白班,老化,2357.31,181.104,12,合成示例，仅用于前端演示
2026-09-03,2号产线,夜班,其他,860.21,116.424,7.5,合成示例，仅用于前端演示
2026-09-03,2号产线,夜班,含浸,1026.59,116.424,8.8,合成示例，仅用于前端演示
2026-09-03,2号产线,夜班,老化,1546.04,116.424,12,合成示例，仅用于前端演示
2026-09-03,2号产线,白班,其他,1051.88,148.176,7.5,合成示例，仅用于前端演示
2026-09-03,2号产线,白班,含浸,1255.33,148.176,8.8,合成示例，仅用于前端演示
2026-09-03,2号产线,白班,老化,1890.52,148.176,12,合成示例，仅用于前端演示
2026-09-04,1号产线,夜班,其他,1246.51,159.72,7.5,合成示例，仅用于前端演示
2026-09-04,1号产线,夜班,含浸,1487.61,159.72,8.8,合成示例，仅用于前端演示
2026-09-04,1号产线,夜班,老化,2240.33,159.72,12,合成示例，仅用于前端演示
2026-09-04,1号产线,白班,其他,1524.25,203.28,7.5,合成示例，仅用于前端演示
2026-09-04,1号产线,白班,含浸,1819.07,203.28,8.8,合成示例，仅用于前端演示
